Region,2000,2005,2010,2015,2020,2023
Beijing,5000,,,,,
Tianjin,6000,,,,,
Hebei,8000,,,,,
Shanxi,0,,,,,
InnerMongolia,0,,,,,
Liaoning,0,,,,,
Jilin,8000,,,,,
Heilongjiang,10000,,,,,
Shanghai,0,,,,,
Jiangsu,0,,,,,
Zhejiang,0,,,,,
Anhui,0,,,,,
Fujian,0,,,,,
Jiangxi,0,,,,,
Shandong,0,,,,,
Henan,0,,,,,
Hubei,0,,,,,
Hunan,0,,,,,
Guangdong,0,,,,,
Guangxi,0,,,,,
Hainan,0,,,,,
Chongqing,0,,,,,
Sichuan,0,,,,,
Guizhou,0,,,,,
Yunnan,0,,,,,
Tibet,0,,,,,
Shaanxi,0,,,,,
Gansu,0,,,,,
Qinghai,0,,,,,
Ningxia,0,,,,,
Xinjiang,0,,,,,
