materials,hierarchy,unit,yearly_demand,price,energy_consumption,initial_inventory,max_inventory,excess_rate,net_demand_rate,type
coal,upstream_raw_material,1e4t,0,0,1,100000000,100000000,0,0,raw_material
crude_oil,upstream_raw_material,1e4t,0,0,1,100000000,100000000,0,0,raw_material
iron_ore,upstream_raw_material,1e4t,0,0,1,100000000,100000000,0,0,raw_material
copper_ore,upstream_raw_material,1e4t,0,0,1,100000000,100000000,0,0,raw_material
salt,upstream_raw_material,1e4t,0,0,1,100000000,100000000,0,0,raw_material
sulfur,upstream_raw_material,1e4t,0,0,1,100000000,100000000,0,0,raw_material
quartz_sand,upstream_raw_material,1e4t,0,0,1,100000000,100000000,0,0,raw_material
limestone,upstream_raw_material,1e4t,0,0,1,100000000,100000000,0,0,raw_material
phosphate_ore,upstream_raw_material,1e4t,0,0,1,100000000,100000000,0,0,raw_material
alumina,upstream_raw_material,1e4t,0,0,1,100000000,100000000,0,0,raw_material
steel,upstream_product,1e4t,6188.046444,3700,1200,0,238,1.05,0.89294241,mineral
aluminum,upstream_product,1e4t,90.7023175,14193,135000,0,3.4885242,1.14,0.323346528,mineral
copper,upstream_product,1e4t,105.222638,48752,10000,0,4.046994,1.11,0.551196716,mineral
soda_ash,upstream_product,1e4t,88.3154365,2000,1550,0,3.396722,1.17,0.494277156,chemical
sulfuric_acid,upstream_product,1e4t,670.22249,600,170,0,25.7775952,1.17,0.797964085,chemical
ammonia,upstream_product,1e4t,324.4199205,2850,10000,0,12.4775952,1.17,0.247569236,chemical
plastic,upstream_product,1e4t,322.82863,7500,2000,0,12.4163928,1.17,0.621707999,chemical
chemical_fiber,upstream_product,1e4t,51.2189535,15000,9000,0,1.9699456,1.22,1,chemical
glass,upstream_product,1e4box,4466.313375,55,65,0,171.78,1.18,0.998300524,building
tire,upstream_product,1e4unit,2761.8455,400,80,0,106.2240438,1.11,0.959110312,building
freight_vehicle,downstream_product,1unit,229585,22,1.7,0,8834,1.67,1,vehicle
road_vehicle,downstream_product,1unit,6570,12,0.65,0,252,1.67,1,vehicle
industrial_boiler,downstream_product,1t,18782.905,4,1.35,0,722.414,1.7,1,industrial_equipment
machine_tool,downstream_product,1unit,19710,27,7,0,756,1.85,1,industrial_equipment
lifting_equipment,downstream_product,1t,90671.62458,1,0.65,0,3487.344,1.82,1,industrial_equipment
forklift,downstream_product,1unit,112055,4,3,0,4312,1.82,1,vehicle
pump,downstream_product,1unit,10679170,0.3,0.1,0,410732,1.82,1,component
bearings,downstream_product,1e4unit,109054.627,2.4,3.5,0,4194.3776,1.82,1,component
mining_equipment,downstream_product,1t,308416.603,0.14,0.65,0,11862.088,1.82,1,industrial_equipment
washing_machine,downstream_product,1e4unit,2366.9885,1500,170,0,91.0378,1.3,1,electrical_equipment
refrigerator,downstream_product,1e4unit,2424.695,2500,230,0,93.2568,1.35,1,electrical_equipment
air_conditioner,downstream_product,1e4unit,2993.5475,2700,300,0,115.136,1.51,1,electrical_equipment
television,downstream_product,1e4unit,1603.226,2200,100,0,61.6616,1.36,1,electrical_equipment
computer,downstream_product,1e4unit,3080.089,3500,120,0,118.4638,1.53,1,electrical_equipment
nitrogen_fertilizer,downstream_product,1e4t,169.625282,1800,1000,0,6.524,1.52,1,fertilizer
monoammonium_phosphate,downstream_product,1e4t,36.0362675,3400,500,0,1.386,1.52,1,fertilizer
diammonium_phosphate,downstream_product,1e4t,54.2364085,4000,600,0,2.086,1.52,1,fertilizer
