materials,hierarchy,unit,demand,price,energy_consumption,initial_inventory,max_inventory,excess_rate,net_demand_rate,type,Unnamed: 11,temp
coal,upstream_raw_material,1e4t,0.0,0.0,1.0,100000000,100000000.0,0.0,0.0,raw_material,,
crude_oil,upstream_raw_material,1e4t,0.0,0.0,1.0,100000000,100000000.0,0.0,0.0,raw_material,,
iron_ore,upstream_raw_material,1e4t,0.0,0.0,1.0,100000000,100000000.0,0.0,0.0,raw_material,,
copper_ore,upstream_raw_material,1e4t,0.0,0.0,1.0,100000000,100000000.0,0.0,0.0,raw_material,,
salt,upstream_raw_material,1e4t,0.0,0.0,1.0,100000000,100000000.0,0.0,0.0,raw_material,,
cotton,upstream_raw_material,1e4t,0.0,0.0,1.0,100000000,100000000.0,0.0,0.0,raw_material,,
sulfur,upstream_raw_material,1e4t,0.0,0.0,1.0,100000000,100000000.0,0.0,0.0,raw_material,,
quartz_sand,upstream_raw_material,1e4t,0.0,0.0,1.0,100000000,100000000.0,0.0,0.0,raw_material,,
limestone,upstream_raw_material,1e4t,0.0,0.0,1.0,100000000,100000000.0,0.0,0.0,raw_material,,
phosphate_ore,upstream_raw_material,1e4t,0.0,0.0,1.0,100000000,100000000.0,0.0,0.0,raw_material,,
alumina,upstream_raw_material,1e4t,0.0,0.0,1.0,100000000,100000000.0,0.0,0.0,raw_material,,
steel,upstream_product,1e4t,17.0,3700.0,1200.0,0,238.0,1.05,0.8929325413235293,mineral,,
aluminum,upstream_product,1e4t,0.2491803,14193.0,135000.0,0,3.4885242,1.14,0.3232996348427224,mineral,,
copper,upstream_product,1e4t,0.289071,48752.0,10000.0,0,4.046994,1.11,0.5511941011031892,mineral,,
soda_ash,upstream_product,1e4t,0.242623,2000.0,1550.0,0,3.396722,1.17,0.4942771295384197,chemical,,
sulfuric_acid,upstream_product,1e4t,1.8412568,600.0,170.0,0,25.7775952,1.17,0.7979640862697697,chemical,,
ammonia,upstream_product,1e4t,0.8912568,2850.0,10000.0,0,12.4775952,1.17,0.24756924715749715,chemical,,
plastic,upstream_product,1e4t,0.8868852,7500.0,2000.0,0,12.4163928,1.17,0.6217023353191597,chemical,,
chemical_fiber,upstream_product,1e4t,0.1407104,15000.0,9000.0,0,1.9699456,1.22,1.0,chemical,,
glass,upstream_product,1e4box,12.27,55.0,65.0,0,171.78,1.18,0.9983004400977996,building,,
tire,upstream_product,1e4unit,7.5874317,400.0,80.0,0,106.2240438,1.11,0.9590902412999645,building,,
freight_vehicle,downstream_product,1unit,631.0,22.0,1.7,0,8834.0,1.67,1.0,vehicle,,
road_vehicle,downstream_product,1unit,18.0,12.0,0.65,0,252.0,1.67,1.0,vehicle,,
industrial_boiler,downstream_product,1t,51.601,4.0,1.35,0,722.414,1.7,1.0,industrial_equipment,,
machine_tool,downstream_product,1unit,54.0,27.0,7.0,0,756.0,1.85,1.0,industrial_equipment,,
lifting_equipment,downstream_product,1t,249.096,1.0,0.65,0,3487.344,1.82,1.0,industrial_equipment,,
forklift,downstream_product,1unit,308.0,4.0,3.0,0,4312.0,1.82,1.0,vehicle,,
pump,downstream_product,1unit,29338.0,0.3,0.1,0,410732.0,1.82,1.0,component,,
bearings,downstream_product,1e4unit,299.5984,2.4,3.5,0,4194.3776,1.82,1.0,component,,
mining_equipment,downstream_product,1t,847.292,0.14,0.65,0,11862.088,1.82,1.0,industrial_equipment,,
washing_machine,downstream_product,1e4unit,6.5027,1500.0,170.0,0,91.0378,1.3,1.0,electrical_equipment,,
refrigerator,downstream_product,1e4unit,6.6612,2500.0,230.0,0,93.2568,1.35,1.0,electrical_equipment,,
air_conditioner,downstream_product,1e4unit,8.224,2700.0,300.0,0,115.136,1.51,1.0,electrical_equipment,,
television,downstream_product,1e4unit,4.4044,2200.0,100.0,0,61.6616,1.36,1.0,electrical_equipment,,
computer,downstream_product,1e4unit,8.4617,3500.0,120.0,0,118.4638,1.53,1.0,electrical_equipment,,
nitrogen_fertilizer,downstream_product,1e4t,0.466,1800.0,1000.0,0,6.524,1.52,1.0,fertilizer,,
monoammonium_phosphate,downstream_product,1e4t,0.099,3400.0,500.0,0,1.386,1.52,1.0,fertilizer,,
diammonium_phosphate,downstream_product,1e4t,0.149,4000.0,600.0,0,2.086,1.52,1.0,fertilizer,,
