materials,hierarchy,unit,demand,price,energy_consumption,initial_inventory,max_inventory,excess_rate,net_demand_rate,,p_nom_link
coal,upstream_raw_material,1e4t,0,0,1,100000000,100000000,0,0,,
crude_oil,upstream_raw_material,1e4t,0,0,1,100000000,100000000,0,0,,
iron_ore,upstream_raw_material,1e4t,0,0,1,100000000,100000000,0,0,,
copper_ore,upstream_raw_material,1e4t,0,0,1,100000000,100000000,0,0,,
salt,upstream_raw_material,1e4t,0,0,1,100000000,100000000,0,0,,
cotton,upstream_raw_material,1e4t,0,0,1,100000000,100000000,0,0,,
sulfur,upstream_raw_material,1e4t,0,0,1,100000000,100000000,0,0,,
quartz_sand,upstream_raw_material,1e4t,0,0,1,100000000,100000000,0,0,,
limestone,upstream_raw_material,1e4t,0,0,1,100000000,100000000,0,0,,
phosphate_ore,upstream_raw_material,1e4t,0,0,1,100000000,100000000,0,0,,
silk,upstream_raw_material,1e4t,0,0,1,100000000,100000000,0,0,,
alumina,upstream_raw_material,1e4t,0,0,1,100000000,100000000,0,0,,
coke,upstream_product,1e4t,4,1400,200,0,4,1.29,0.124712426,,466.6666667
pig_iron,upstream_product,1e4t,6.9325137,3500,1200,0,6.9325137,1.07,0.007921422,,4852.75959
steel,upstream_product,1e4t,10.1002732,4000,1500,0,10.1002732,1.02,0.870724232,,8837.73905
aluminum,upstream_product,1e4t,0.2491803,14193,135000,0,0.2491803,1.14,0.323299635,,19622.94863
copper,upstream_product,1e4t,0.289071,48752,10000,0,0.289071,1.11,0.551194101,,1686.2475
soda_ash,upstream_product,1e4t,0.242623,2000,1550,0,0.242623,1.17,0.49427713,,219.3716292
sulfuric_acid,upstream_product,1e4t,1.8412568,600,170,0,1.8412568,1.17,0.295575066,,182.5912993
ammonia,upstream_product,1e4t,0.8912568,2850,13000,0,0.8912568,1.17,0.247569247,,6758.6974
plastic,upstream_product,1e4t,0.8868852,7500,2000,0,0.8868852,1.17,0.621702335,,1034.6994
chemical_fiber,upstream_product,1e4t,0.1407104,15000,9000,0,0.1407104,1.22,0.968667591,,738.7296
glass,upstream_product,1e4box,12.27,55,65,0,12.27,1.18,0.99830044,,465.2375
yarn,upstream_product,1t,2150.202186,0.48,1.6,0,2150.202186,1.3,0.382577504,,2006.855374
cloth,upstream_product,1e4meter,217.3551913,5,1.8,0,217.3551913,1.3,0.261931776,,228.2229509
tire,upstream_product,1e4unit,7.5874317,400,80,0,7.5874317,1.11,0.959090241,,354.080146
woven_clothing,downstream_product,1e4unit,133.6858,100,20,0,133.6858,1.3,1,,1559.667667
knitted_clothing,downstream_product,1e4unit,87.0628,75,10,0,87.0628,1.3,1,,507.8663333
silk_fabric,downstream_product,1e4meter,5.565574,100,8,0,5.565574,1.3,1,,25.97267867
freight_vehicle,downstream_product,1unit,631,22,1.7,0,631,1.67,1,,625.7416667
road_vehicle,downstream_product,1unit,18,12,0.65,0,18,1.67,1,,6.825
industrial_boiler,downstream_product,1t,51.601,4,1.35,0,51.601,1.7,1,,40.6357875
machine_tool,downstream_product,1unit,54,27,7,0,54,1.85,1,,220.5
lifting_equipment,downstream_product,1t,249.096,1,0.65,0,249.096,1.82,1,,94.4489
forklift,downstream_product,1unit,308,4,3,0,308,1.82,1,,539
pump,downstream_product,1unit,29338,0.3,0.1,0,29338,1.82,1,,1711.383333
bearings,downstream_product,1e4unit,299.5984,2.4,3.5,0,299.5984,1.82,1,,611.6800667
mining_equipment,downstream_product,1t,847.292,0.14,0.65,0,847.292,1.82,1,,321.2648833
washing_machine,downstream_product,1e4unit,6.5027,1500,170,0,6.5027,1.3,1,,644.8510833
refrigerator,downstream_product,1e4unit,6.6612,2500,230,0,6.6612,1.35,1,,893.711
air_conditioner,downstream_product,1e4unit,8.224,2700,300,0,8.224,1.51,1,,1439.2
television,downstream_product,1e4unit,4.4044,2200,100,0,4.4044,1.36,1,,256.9233333
computer,downstream_product,1e4unit,8.4617,3500,120,0,8.4617,1.53,1,,592.319
nitrogen_fertilizer,downstream_product,1e4t,0.466,1800,1000,0,0.466,1.52,1,,271.8333333
monoammonium_phosphate,downstream_product,1e4t,0.099,3400,500,0,0.099,1.52,1,,28.875
diammonium_phosphate,downstream_product,1e4t,0.149,4000,600,0,0.149,1.52,1,,52.15
