Month,Month_Name,Hydro_Capacity_Factor_Avg,Nuclear_Capacity_Factor_Avg,Coal_Capacity_Factor_Avg,Gas_Capacity_Factor_Avg,Wind_Capacity_Factor_Avg,Solar_Capacity_Factor_Avg,Aluminum_Capacity_Factor_Avg,Other_Capacity_Factor_Avg,Hydro_Capacity_Factor_Max,Nuclear_Capacity_Factor_Max,Coal_Capacity_Factor_Max,Gas_Capacity_Factor_Max,Wind_Capacity_Factor_Max,Solar_Capacity_Factor_Max,Aluminum_Capacity_Factor_Max,Other_Capacity_Factor_Max,Electricity Load_Load_Factor,Heating Load_Load_Factor,Aluminum Load_Load_Factor
1,Jan,0.03350847442173462,0.9941863954938939,0.9618359199373578,0.8181596650458005,0.20169623634971967,0.1921294062510221,5.289117366398668e-05,0.21765885618476744,0.07798466571185197,0.9999999278519108,0.9618359199373578,0.8181596650458005,0.41298443454188094,0.7893442531102519,5.8100000058091826e-05,0.28733168666083186,0.597428928866717,0.6268697789344118,1.0
2,Feb,0.018837532427396962,0.9913413659524868,0.3846272200538156,0.7723285974026151,0.29111693236987424,0.22164132726907199,0.031429790315181665,0.23714089771610192,0.051306709967202185,0.9999998996094275,0.3846272200538156,0.7723285974026151,0.5917841245231492,0.832323729299067,0.05960504805958843,0.3174908742551458,0.6028486416947443,0.502403081125556,1.0
3,Mar,0.019249868326601638,0.9335748719563683,0.15411924653261425,0.391855742719602,0.34734263831732404,0.24081597452175793,0.8425014216931616,0.2362475326334565,0.08477378865264215,0.9999998554255256,0.15411924653261425,0.391855742719602,0.6088078456553204,0.8414663507962707,0.9999999999997287,0.31699839613926656,0.6318612116449298,0.30266313252899096,1.0
4,Apr,0.03317364458208774,0.7496487922635019,0.006501997201693653,0.00740168326597069,0.23458915394988322,0.23513290500132114,0.9999998789580583,0.1869869146432188,0.18016921974379674,0.9999779477017838,0.006501997201693653,0.00740168326597069,0.4158119873946805,0.8025729640187934,0.9999999999997446,0.2530665023416986,0.6071706624218371,0.04598950189720635,1.0
5,May,0.04513688095695427,0.7337534700790592,0.010750587493304079,5.047725921085788e-05,0.250600140854145,0.2259688351156862,0.9999677842169417,0.19309155074788376,0.27695759103940315,0.991739991079807,0.010750587493304079,5.047725921085788e-05,0.45237898686295885,0.8097437472477332,0.999999999999726,0.2545988898248577,0.6083577971980875,0.04602386061881075,1.0
6,Jun,0.07038115044453122,0.8488448191737842,0.03803538626118424,8.27077681123365e-05,0.24470468859428304,0.21281244172075542,0.9993677247773378,0.19555683408265107,0.3842787746986292,0.9999982234186837,0.03803538626118424,8.27077681123365e-05,0.4804883347427651,0.7635592294684772,0.9999999999997282,0.26308350473051206,0.6623092058455633,0.046006742975997085,1.0
7,Jul,0.09506320274405963,0.9673130822144427,0.3939041143183078,0.6968970465142528,0.18448960755031735,0.20032350809255994,0.981480782470692,0.18783912661845856,0.578248074160344,0.9999999842764163,0.3939041143183078,0.6968970465142528,0.39589177188600144,0.7145356003962913,0.9999418999996444,0.2667909940168657,0.7087807120873371,0.04600555519787885,1.0
8,Aug,0.08166562776962,0.9637996767171022,0.26756079937045285,0.5606374683435112,0.2052710321893486,0.1926506694972337,0.9854523959023749,0.19064042097042166,0.41250916383131553,0.9999999631845282,0.26756079937045285,0.5606374683435112,0.4158223519025699,0.785882691202781,0.9999418999996894,0.2756437508672626,0.6873888567978365,0.0460067606097081,1.0
9,Sep,0.07129702015878456,0.9567908678154629,0.23753468130198718,0.5731754817709741,0.21658496372328512,0.1816327893429016,0.988833881269563,0.19668549425986562,0.3158473709176782,0.9999999782738692,0.23753468130198718,0.5731754817709741,0.4190278840445847,0.6896835266260029,0.9999709499997909,0.29767174274080466,0.6518453012432937,0.045989572432050395,1.0
10,Oct,0.051298484911104184,0.9050563616371194,0.047245721031334946,0.08515809893517166,0.33861788878590937,0.1888099981457354,0.9895343800206235,0.24000470819619163,0.22501782510386975,0.9999982462789151,0.047245721031334946,0.08515809893517166,0.5874613246745439,0.7159185425345689,0.9999999999998493,0.3242323058880687,0.6452743148655434,0.1702527247322213,1.0
11,Nov,0.03929014259651385,0.9839218875289784,0.29987015268554995,0.4322356079594047,0.32753424004338416,0.1788691510899965,0.5379204124698317,0.2405439293974445,0.15603211674895912,0.9999993548252606,0.29987015268554995,0.4322356079594047,0.636646652333028,0.7384628413578962,0.9404530519403032,0.3239798665107712,0.6639439066047211,0.36701042213490576,1.0
12,Dec,0.035613163457190164,0.9939642606058623,0.6540686494769411,0.7224585548239024,0.3505330071583457,0.18818145192313768,5.2434241371735404e-05,0.2568921073067857,0.09346883502867326,0.9999997314987128,0.6540686494769411,0.7224585548239024,0.5641897290583878,0.7674665637755002,5.810000005808509e-05,0.34104835212671525,0.6630982598808122,0.6504026104779008,1.0
