Month,Month_Name,Hydro_Capacity_Factor_Avg,Nuclear_Capacity_Factor_Avg,Coal_Capacity_Factor_Avg,Gas_Capacity_Factor_Avg,Wind_Capacity_Factor_Avg,Solar_Capacity_Factor_Avg,Other_Capacity_Factor_Avg,Aluminum_Capacity_Factor_Avg,Hydro_Capacity_Factor_Max,Nuclear_Capacity_Factor_Max,Coal_Capacity_Factor_Max,Gas_Capacity_Factor_Max,Wind_Capacity_Factor_Max,Solar_Capacity_Factor_Max,Other_Capacity_Factor_Max,Aluminum_Capacity_Factor_Max,Electricity Load_Load_Factor,Heating Load_Load_Factor
1,Jan,0.03344587353781472,0.9945855055124118,0.9618542155874951,0.817605803338913,0.2014438063896815,0.19215531591775903,0.21709601398187203,1.0,0.07790899614127644,0.9999999699656146,0.9618542155874951,0.817605803338913,0.412258485084285,0.7892824753405483,0.28792661449635226,1.0,0.6061793636774877,0.6268697789344118
2,Feb,0.01899036203398292,0.9920372018798294,0.40814517230429703,0.7982207607398693,0.2905569132760468,0.22164705618406177,0.2367646415860435,1.0,0.05365021473480029,0.9999999597080764,0.40814517230429703,0.7982207607398693,0.5911198183088173,0.8322997718606837,0.31550008752531694,1.0,0.6112922881485718,0.502403081125556
3,Mar,0.019195453222767368,0.9299282960828397,0.16375414150668396,0.3928621217742475,0.3465234911417771,0.2408586893774125,0.23532164599531036,1.0,0.0838790897289618,0.99999991495448,0.16375414150668396,0.3928621217742475,0.608116487371217,0.8423170554660915,0.3149953796374169,1.0,0.6322329366964735,0.30266313252899096
4,Apr,0.033209416214625004,0.7469462461718086,0.006568715848199427,0.00643932190964033,0.23241797578046564,0.2352353759651428,0.18197585745104683,1.0,0.17972949722792458,0.9999901911950775,0.006568715848199427,0.00643932190964033,0.41225226188769815,0.8027008687806263,0.25067675269814654,1.0,0.6059362676864041,0.04598950189720635
5,May,0.04525078399494097,0.7318693357116901,0.010587103367883136,1.670407811840354e-05,0.24890123788265656,0.225881765930249,0.18840577414084522,1.0,0.2764792252473138,0.9901699840823173,0.010587103367883136,1.670407811840354e-05,0.45132410878395723,0.8101090690802735,0.25213144484343397,1.0,0.6071252371335132,0.04602386061881075
6,Jun,0.07040001300707546,0.8466992054040718,0.04132934323074887,2.5832551644675976e-05,0.24380311795483123,0.21275483202020834,0.19472252475632412,1.0,0.3843181663865848,0.99999932976667,0.04132934323074887,2.5832551644675976e-05,0.482354347181836,0.7629697290602477,0.2625549837378349,1.0,0.6611514420796737,0.046006742975997085
7,Jul,0.09503113829395102,0.9664589097204701,0.37990009461252716,0.6809385153126628,0.1840412719680798,0.20018742655103894,0.18811855269950167,1.0,0.5786944679232782,0.9999999902464543,0.37990009461252716,0.6809385153126628,0.3942656665127391,0.713223762203517,0.26638348619373176,1.0,0.7078610369826424,0.04600555519787885
8,Aug,0.08168710695821527,0.9631809850428195,0.26272597861073654,0.4681813974014945,0.20465372075184068,0.1925810965685701,0.19097467557269432,1.0,0.41213123358458037,0.9999999875969668,0.26272597861073654,0.4681813974014945,0.4138627738446432,0.7850614902984838,0.27428988317430003,1.0,0.6864021961885657,0.0460067606097081
9,Sep,0.07122370281959256,0.956136516889171,0.23445194847868375,0.5688620009115621,0.21568928006248295,0.18153190800087288,0.19667657706740937,1.0,0.31612355406525383,0.9999999918050075,0.23445194847868375,0.5688620009115621,0.41672167558409157,0.6887730435682107,0.2958477118321186,1.0,0.6507795093253564,0.045989572432050395
10,Oct,0.05123852336760754,0.9022921512204944,0.0476500282500858,0.08404112205499066,0.3373409795488004,0.18882427342130656,0.23922012368193335,1.0,0.22241569722443627,0.9999993646562704,0.0476500282500858,0.08404112205499066,0.5846400678737429,0.7153791593630133,0.3229068223667515,1.0,0.6441931404114081,0.1702527247322213
11,Nov,0.03930879640784915,0.9833650067648798,0.30455591880807775,0.42340210111850946,0.3265385534897574,0.1788845287908176,0.24038517552312844,1.0,0.1557752466746616,0.9999997890999942,0.30455591880807775,0.42340210111850946,0.634327749693774,0.738027232184882,0.32385204626178243,1.0,0.6674016769341711,0.36701042213490576
12,Dec,0.03570130658033309,0.994224616120726,0.6660042445150633,0.7220977160486458,0.3495207862724371,0.18822531095452455,0.2570973592699733,1.0,0.0932812626575272,0.9999999161772468,0.6660042445150633,0.7220977160486458,0.5622167109911543,0.7682366712995007,0.34107099835859134,1.0,0.6719324385986141,0.6504026104779008
