,Other Electricity Load,Electric Heating,Methanation Electricity,Battery Loss,PHS Loss,Wind Generation,Solar Generation,Hydro Generation,Net Load
1,1124.1171779315744,315.41044568212175,0.0,4.931436016218059,1.616807839742667,401.18290213610345,366.4199945022882,44.75921998834108,633.713750842924
2,1022.4800026425439,389.000919490518,0.0,4.568541030945768,1.834709175766257,521.098840498718,380.9186003919279,23.189633951582213,492.6770974975459
3,1190.9411627140755,349.3505426929455,0.0,5.042897824834324,1.9670967046843828,689.0933838591217,458.3883718182534,29.56009339805748,370.2598508611072
4,1107.8809756968383,32.34304714825678,0.0,5.004121312745817,1.7627885501341805,450.2391162806424,433.08093831899765,51.2788257285445,212.3920523797906
5,1147.3256803590787,60.00471295465489,0.0,4.9901200478470145,2.1706923708516057,495.81480129105404,429.79796826466935,74.8815378885899,213.99689828811904
6,1208.4901570481263,46.35550175076335,0.0,4.4133048003273725,1.1285524425689204,469.65352356382726,391.9698603896546,98.12198094867256,300.6421511396313
7,1338.0488513161877,21.652439060362486,0.0,4.331130449456215,1.235021868608938,367.3257544612444,381.37122569704894,126.0554125514114,490.5150499849105
8,1295.1561946742727,33.11915611759376,0.0,4.4539332396680935,1.49173611813142,406.1202275548332,366.4490483591128,114.87214251092509,446.7796017247948
9,1189.397072421605,51.38957356546898,0.0,4.048590513578952,1.3716803356760725,415.68427621031293,334.54143237705796,95.36216369565297,400.6190445533051
10,1217.504444037962,219.78205676672556,0.0,4.569468362150722,1.300612050719384,671.9531990903163,359.53297958978976,77.9048209282785,333.7655816091732
11,1211.472932705969,269.5883684265647,0.0,4.54658228523537,1.717968517410414,628.6255110510768,329.4512088384355,49.145785585823845,480.1033464598434
12,1250.2290916650752,424.50826859612437,0.0,4.858192806078017,1.317969398060055,696.8982692834363,358.6200379213369,62.01303043207165,563.3821848284929
